검사결과부호,가중치,개수
A,0,109197
C1,5,247
C2,10,1364
C3,100,4
C4,100,4
D1,20,24
D2,20,1768
D3,20,27
D4,20,36
D5,20,537
D6,5,190
D7,20,7
D8,100,0
E1,50,559
E2,100,226
E3,200,16
E4,20,3990
E5,50,2035
E6,100,2
E7,30,16
E8,50,2
E9,150,0
F1,100,564
F2,50,916
F3,50,65
F4,5,262
G3,100,6
G4,5,103
G5,5,12
G6,50,614
G7,10,5684
G8,5,396
G9,5,74
H1,200,6
H2,200,15
I3,100,3
I4,10,122
I5,100,0
I6,5,49
I7,5,18
I8,10,997
I9,10,83
J4,5,6
J5,5,34
J6,5,61
J7,5,359
J8,1,1721
J9,5,116
K,1,677
L1,100,1
L2,10,2303
L3,50,25
L4,10,348
M1,5,1347
M2,5,628
M3,5,451
M4,5,34
M5,10,1801
M6,10,234
M7,100,1
M8,10,27
M9,100,1
N1,5,340
N2,5,1041
N3,5,2226
N4,5,244
N5,1,3767
N6,5,128
O1,100,0
O2,100,3
P1,100,6
P2,200,0
P3,100,0
P4,150,0
S,200,371
S1,150,255
S2,150,27
S3,150,4
S9,200,1
T1,200,0
T2,200,0
T3,150,0
T4,150,0
T5,100,0
T6,50,0
